Employee_ID,Type,Department,Area,Region_Lat,Region_Long,Legal_Entity,Product,Title,Gender,Marital_Status,prev_emplr_tenure,Home_Work_Match,Age,Quart_Tenure,Type,Department,Area,Region_Lat,Region_Long,Legal_Entity,Product,Title,Gender,Marital_Status,prev_emplr_tenure,Home_Work_Match,Age,Quart_Tenure
193852,Terminated,Dept-2,Area-12,38.03706,114.4687,Entity-1,Product-2,Grade-7,M,Single,1.86,,24.5119781,2.633333333,,,,,,,,,,,,,,
193857,Existing,Dept-3,Other,32.06171,118.7632,Entity-4,Product-1,Grade-8,F,Marr.,2.59,,29.94113621,2.855555556,Existing,Dept-3,Other,32.06171,118.7632,Entity-4,Product-1,Grade-8,F,Marr.,2.59,0,30.19301848,3.877777778
194063,Existing,Dept-3,Other,36.66853,117.0204,Entity-4,Product-21,Grade-7,F,Marr.,0.36,1,28.50102669,2.744444444,Terminated,Dept-3,Other,36.66853,117.0204,Entity-4,Product-21,Grade-7,F,Marr.,0.36,1,28.51471595,2.8
194065,Existing,Dept-4,Area-16,30.26744,120.1528,Entity-3,Product-17,Grade-7,M,Single,3.35,,27.61943874,2.677777778,Terminated,Dept-4,Area-16,30.26744,120.1528,Entity-3,Product-17,Grade-7,M,Single,3.35,0,27.87132101,3.7
194069,Existing,Dept-4,Area-16,30.26744,120.1528,Entity-3,Product-17,Grade-7,F,Marr.,0.45,,28.01368925,2.677777778,Existing,Dept-4,Area-16,30.26744,120.1528,Entity-3,Product-17,Grade-7,F,Marr.,0.45,0,28.26557153,3.7
194092,Terminated,Dept-4,Area-19,30.65165,104.0759,Entity-3,Product-20,Grade-4,M,Marr.,0.31,1,29.86173854,0.833333333,,,,,,,,,,,,,,
194096,Terminated,Dept-4,Area-19,30.65165,104.0759,Entity-3,Product-20,Grade-7,M,Single,2.36,1,28.73100616,2.455555556,,,,,,,,,,,,,,
194139,Existing,Dept-1,Area-5,41.83618,123.4314,Entity-4,Product-8,Grade-7,M,Single,3.59,,26.14373717,2.755555556,Terminated,Dept-1,Area-5,41.83618,123.4314,Entity-4,Product-8,Grade-7,M,Single,3.59,0,26.39561944,3.777777778
194141,Existing,Dept-1,Area-4,32.06171,118.7632,Entity-3,Product-8,Grade-7,F,Single,0.01,,23.37850787,2.633333333,Terminated,Dept-1,Area-4,32.06171,118.7632,Entity-3,Product-8,Grade-7,F,Single,0.01,0,23.63039014,3.655555556
194190,Existing,Dept-4,Area-20,30.65165,104.0759,Entity-3,Product-20,Grade-7,F,Single,2.24,1,31.2991102,2.677777778,Existing,Dept-4,Area-20,30.65165,104.0759,Entity-3,Product-20,Grade-7,F,Single,2.24,1,31.55099247,3.7
194199,Existing,Dept-4,Area-19,30.65165,104.0759,Entity-3,Product-20,Grade-7,M,Marr.,4.58,1,31.00068446,2.677777778,Terminated,Dept-4,Area-19,30.65165,104.0759,Entity-3,Product-20,Grade-7,M,Marr.,4.58,1,31.14852841,3.277777778
194208,Terminated,Dept-4,Other,31.86118,117.2849,,Product-20,Grade-4,F,Single,0.41,,21.96577687,0.6,,,,,,,,,,,,,,
194226,Existing,Dept-4,Area-16,26.10078,119.2951,Entity-3,Product-20,Grade-7,F,Single,1.33,1,24.72826831,2.555555556,Existing,Dept-4,Area-16,26.10078,119.2951,Entity-3,Product-20,Grade-7,F,Single,1.33,1,24.98015058,3.577777778
194229,Existing,Dept-4,Area-15,26.10078,119.2951,Entity-3,Product-20,Grade-7,M,Single,3.21,1,24.62696783,2.677777778,Existing,Dept-4,Area-15,26.10078,119.2951,Entity-3,Product-20,Grade-7,M,Single,3.21,1,24.8788501,3.7
194230,Existing,Dept-4,Area-16,26.10078,119.2951,Entity-3,Product-20,Grade-7,M,Single,1.72,1,25.83436003,2.555555556,Existing,Dept-4,Area-16,26.10078,119.2951,Entity-3,Product-20,Grade-7,M,Single,1.72,1,26.0862423,3.577777778
194314,Existing,Dept-4,Area-18,41.83618,123.4314,Entity-3,Product-20,Grade-8,F,Single,1.88,1,33.06228611,2.6,Existing,Dept-4,Area-18,41.83618,123.4314,Entity-3,Product-20,Grade-8,F,Single,1.88,1,33.31416838,3.622222222
194331,Existing,Dept-1,Area-6,34.76552,113.7536,Entity-1,Product-4,Grade-7,F,Marr.,4.39,1,31.89596167,2.711111111,Existing,Dept-1,Area-6,34.76552,113.7536,Entity-1,Product-4,Grade-7,F,Marr.,4.39,1,32.14784394,3.733333333
194332,Existing,Dept-1,Area-1,39.90421,116.4074,Entity-3,Other,Grade-7,M,Single,0.6,0,24.93360712,2.555555556,Existing,Dept-1,Area-1,39.90421,116.4074,Entity-3,Other,Grade-7,M,Single,0.6,0,25.18548939,3.577777778
194333,Existing,Dept-3,Other,29.56301,106.5516,Entity-4,Product-1,Grade-7,F,Single,4.08,0,29.28952772,2.633333333,Existing,Dept-3,Other,29.56301,106.5516,Entity-4,Product-1,Grade-7,F,Single,4.08,0,29.54140999,3.655555556
194336,Terminated,Dept-4,Area-19,30.65165,104.0759,Entity-3,Product-20,Grade-7,M,Single,1.56,1,27.72621492,2.344444444,,,,,,,,,,,,,,
194338,Existing,Dept-4,Area-15,28.6757,115.9092,Entity-3,Product-20,Grade-7,M,Single,0.88,0,23.71800137,2.555555556,Existing,Dept-4,Area-15,28.6757,115.9092,Entity-3,Product-20,Grade-7,M,Single,0.88,0,23.96988364,3.577777778
194342,Existing,Dept-4,Area-18,41.83618,123.4314,Entity-3,Product-20,Grade-7,M,Single,0,0,23.55646817,2.677777778,Existing,Dept-4,Area-18,41.83618,123.4314,Entity-3,Product-20,Grade-7,M,Single,0,0,23.80835044,3.7
194343,Terminated,Dept-4,Area-18,41.83618,123.4314,Entity-3,Product-20,Grade-7,M,Single,0.29,1,24.25188227,2.611111111,,,,,,,,,,,,,,
194345,Terminated,Dept-1,Area-9,25.04581,102.71,Entity-1,Product-4,Grade-8,F,Marr.,1.16,1,27.34839151,2.455555556,,,,,,,,,,,,,,
194346,Existing,Dept-4,Area-18,41.83618,123.4314,Entity-3,Product-20,Grade-7,F,Single,0.12,1,23.43326489,2.677777778,Existing,Dept-4,Area-18,41.83618,123.4314,Entity-3,Product-20,Grade-7,F,Single,0.12,1,23.68514716,3.7
194348,Existing,Dept-1,Other,31.23042,121.4737,Entity-3,Product-13,Grade-7,F,Single,0,0,25.5742642,2.611111111,Existing,Dept-1,Other,31.23042,121.4737,Entity-3,Product-13,Grade-7,F,Single,0,0,25.82614648,3.633333333
194349,Existing,Dept-4,Area-18,41.83618,123.4314,Entity-3,Product-20,Grade-7,M,Single,0,1,22.30800821,2.677777778,Terminated,Dept-4,Area-18,41.83618,123.4314,Entity-3,Product-20,Grade-7,M,Single,0,1,22.52156057,3.544444444
194352,Existing,Dept-4,Area-20,30.65165,104.0759,Entity-3,Product-14,Grade-7,F,Single,0.67,0,25.44832307,2.677777778,Existing,Dept-4,Area-20,30.65165,104.0759,Entity-3,Product-14,Grade-7,F,Single,0.67,0,25.70020534,3.7
194353,Terminated,Dept-4,Area-18,41.83618,123.4314,,Product-20,Grade-4,,Single,2.28,1,26.41478439,0.277777778,,,,,,,,,,,,,,
194355,Existing,Dept-4,Area-16,28.11245,112.9838,Entity-3,Product-20,Grade-7,M,Single,1.02,0,24.72553046,2.611111111,Terminated,Dept-4,Area-16,28.11245,112.9838,Entity-3,Product-20,Grade-7,M,Single,1.02,0,24.75838467,2.744444444
194374,Existing,Dept-4,Area-15,30.5465,114.3419,Entity-3,Product-20,Grade-7,M,Single,2.31,0,26.19301848,2.677777778,Existing,Dept-4,Area-15,30.5465,114.3419,Entity-3,Product-20,Grade-7,M,Single,2.31,0,26.44490075,3.7
194378,Existing,Dept-4,Area-19,23.13219,113.2665,Entity-3,Product-14,Grade-7,M,Marr.,1.14,1,26.42847365,2.633333333,Existing,Dept-4,Area-19,23.13219,113.2665,Entity-3,Product-14,Grade-7,M,Marr.,1.14,1,26.68035592,3.655555556
194382,Existing,Dept-4,Area-19,23.13219,113.2665,Entity-3,Product-14,Grade-7,M,Single,2.21,0,26.13004791,2.633333333,Existing,Dept-4,Area-19,23.13219,113.2665,Entity-3,Product-14,Grade-7,M,Single,2.21,0,26.38193018,3.655555556
194383,Existing,Dept-4,Area-19,23.13219,113.2665,Entity-3,Product-14,Grade-7,M,Single,0.84,1,23.79192334,2.555555556,Existing,Dept-4,Area-19,23.13219,113.2665,Entity-3,Product-14,Grade-7,M,Single,0.84,1,24.04380561,3.577777778
194384,Existing,Dept-4,Area-19,23.13219,113.2665,Entity-3,Product-17,Grade-7,F,Single,0.34,,23.57563313,2.633333333,Existing,Dept-4,Area-19,23.13219,113.2665,Entity-3,Product-17,Grade-7,F,Single,0.34,0,23.8275154,3.655555556
194421,Existing,Dept-4,Area-16,30.5465,114.3419,Entity-3,Product-20,Grade-7,M,Single,2.24,0,26.28062971,2.677777778,Terminated,Dept-4,Area-16,30.5465,114.3419,Entity-3,Product-20,Grade-7,M,Single,2.24,0,26.53251198,3.7
194423,Existing,Dept-4,Area-17,36.66853,117.0204,Entity-3,Product-20,Grade-7,,Single,1.44,,37.46475017,2.555555556,Existing,Dept-4,Area-17,36.66853,117.0204,Entity-3,Product-20,Grade-7,0,Single,1.44,0,37.71663244,3.577777778
194426,Existing,Dept-2,Area-13,26.10078,119.2951,Entity-1,Product-16,Grade-7,M,Single,1.35,,25.5742642,2.611111111,Existing,Dept-2,Area-13,26.10078,119.2951,Entity-1,Product-16,Grade-7,M,Single,1.35,0,25.82614648,3.633333333
194432,Existing,Dept-4,Area-16,30.26744,120.1528,Entity-3,Product-14,Grade-7,M,Single,6.64,1,30.67214237,2.622222222,Existing,Dept-4,Area-16,30.26744,120.1528,Entity-3,Product-14,Grade-7,M,Single,6.64,1,30.92402464,3.644444444
