,Q1,,,,,,,,,,,,Q2,,,,,,,,,,,
Employee_ID,incentiveQ_1,incentiveQ1_Q2,incentiveQ2_Q3,incentiveQ1_Q3,salesQ_1,salesQ1_Q2,salesQ2_Q3,salesQ1_Q3,targetQ_1,targetQ1_Q2,targetQ2_Q3,targetQ1_Q3,incentiveQ_1,incentiveQ1_Q2,incentiveQ2_Q3,incentiveQ1_Q3,salesQ_1,salesQ1_Q2,salesQ2_Q3,salesQ1_Q3,targetQ_1,targetQ1_Q2,targetQ2_Q3,targetQ1_Q3
193852,6810,0.486465252,14001,6811,223074,1.180612707,188948.5,223075,204000,1.439966265,141670.68,204001,18895.8333,2.77445798,0.486465252,1.349677402,257958,1.1563779,1.180612707,1.365234442,215475,1.056249724,1.439966265,1.520963971
193857,16895,1.126324912,15001,16896,1276800,1.251668007,1020079.6,1276801,1199280,0.788659355,1520657.8,1199281,47686.4,2.82240767,1.126324912,3.17894807,1360400,1.065476139,1.251668007,1.333622396,1308720,1.091254677,0.788659355,0.86062821
194063,0,8.16E-05,12251,1,112480,0.833360252,134972.84,112481,342000,0.49431739,691865.2,342001,0,1,0.0000816,0.0000816,272080,2.418906304,0.833360252,2.015820368,556320,1.626664834,0.49431739,0.804088716
194065,7712.032,0.514167855,15001,7713.032,325066.41,325067.41,1,325067.41,276190.73,276191.73,1,276191.73,26102.7627,3.384371114,0.514167855,1.740134838,423022.782,1.301341719,325067.41,423023.782,390134.31,1.412552469,276191.73,390135.31
194069,6519.856,0.434694754,15001,6520.856,161504.97,161505.97,1,161505.97,156684,156685,1,156685,16961.9456,2.601337248,0.434694754,1.130787654,177302.72,1.09781527,161505.97,177303.72,176858.88,1.128760762,156685,176859.88
194092,0,0.00019996,5001,1,0,1,1,1,0,1,1,1,0,1,0.00019996,0.00019996,0,1,1,1,0,1,1,1
194096,4600,0.353895854,13001,4601,211866.44,39.33231352,5386.6,211867.44,168718.23,3.319082708,50833.09,168719.23,0,0.000217344,0.353895854,0.0000769,0,0.00000472,39.33231352,0.000185646,121468.36,0.719949706,3.319082708,2.389572619
194139,7043.33,0.503130491,14001,7044.33,249283,0.464321053,536878.52,249284,260505,0.451271063,577271.67,260506,18290.3333,2.596603694,0.503130491,1.306430491,367035,1.472360841,0.464321053,0.683648137,372325,1.429241553,0.451271063,0.644975354
194141,18050,1.289265052,14001,18051,555579,0.780001096,712281.05,555580,531152,0.766885141,692610.89,531153,36706.2667,2.033530923,1.289265052,2.621760353,607453,1.093369092,0.780001096,0.85282909,580763,1.093402466,0.766885141,0.838514104
194190,0,6.67E-05,15001,1,183133.25,183134.25,1,183134.25,313424.8,313425.8,1,313425.8,0,1,0.0000667,0.0000667,239663.19,1.308680326,183134.25,239664.19,378028.5,1.206121194,313425.8,378029.5
194199,6917.3056,0.461189627,15001,6918.3056,239677.37,239678.37,1,239678.37,245435.44,245436.44,1,245436.44,15000,2.168305488,0.461189627,1,337537.72,1.40829863,239678.37,337538.72,338416.73,1.378840607,245436.44,338417.73
194208,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
194226,0,6.67E-05,15001,1,21576.6,21577.6,1,21577.6,235088.83,235089.83,1,235089.83,21046.688,21047.688,0.0000667,1.403085661,251581.8,11.65944313,21577.6,251582.8,267261.14,1.136851135,235089.83,267262.14
194229,6360,0.424038397,15001,6361,214823.18,214824.18,1,214824.18,206536.07,206537.07,1,206537.07,0,0.000157208,0.424038397,0.0000667,204879.81,0.953713916,214824.18,204880.81,270916.68,1.311714551,206537.07,270917.68
194230,7949.136,0.529973735,15001,7950.136,194370.23,194371.23,1,194371.23,185523.78,185524.78,1,185524.78,23297.84,2.930621564,0.529973735,1.553152457,239070.75,1.229974981,194371.23,239071.75,240652.61,1.297150763,185524.78,240653.61
194314,9030,0.602026532,15001,9031,500545.02,500546.02,1,500546.02,551065.85,551066.85,1,551066.85,15450,1.71088473,0.602026532,1.029998,536822.14,1.072475094,500546.02,536823.14,526373.2,0.95519119,551066.85,526374.2
194331,6305,0.4503964,14001,6306,131100,3.6284506,36131.4,131101,133000,1.250062033,106395.52,133001,0,0.000158579,0.4503964,0.0000714,59850,0.456525885,3.6284506,1.65648162,145350,1.092856445,1.250062033,1.366138349
194332,31280,2.234197557,14001,31281,1257296,0.564526022,2227172.8,1257297,1159855,0.721115221,1608419.8,1159856,0,0.000032,2.234197557,0.0000714,982406,0.781364308,0.564526022,0.441100484,1342331,1.157326427,0.721115221,0.834565702
194333,5750,0.434004981,13251,5751,349600,1.693598159,206425,349601,250800,0.94673397,264911.8,250801,19976.6333,3.473766875,0.434004981,1.507632126,372400,1.065217205,1.693598159,1.804049897,310080,1.236362694,0.94673397,1.170506561
194336,0,0.00019996,5001,1,188992.55,188993.55,1,188993.55,241482.6,241483.6,1,241483.6,0,1,0.00019996,0.00019996,118848.92,0.628857017,188993.55,118849.92,152142.05,0.63003471,241483.6,152143.05
194338,9024.352,0.601650023,15001,9025.352,171179.8,171180.8,1,171180.8,150453.99,150454.99,1,150454.99,23732.7573,2.629676638,0.601650023,1.58214501,212501.6,1.241392726,171180.8,212502.6,199387.85,1.325239196,150454.99,199388.85
194342,14995.8512,0.999723432,15001,14996.8512,328937.68,328938.68,1,328938.68,327143.18,327144.18,1,327144.18,29587.5339,1.972983095,0.999723432,1.972437431,450389.98,1.369224744,328938.68,450390.98,438613.2,1.340736675,327144.18,438614.2
194343,0,9.09E-05,11001,1,253546.28,253547.28,1,253547.28,435129.85,435130.85,1,435130.85,0,1,0.0000909,0.0000909,147177.28,0.580476667,253547.28,147178.28,181721.89,0.417628146,435130.85,181722.89
194345,5863,1.465633592,4001,5864,198000,0.969079189,204318.7,198001,194040,0.436277899,444764.68,194041,0,0.000170532,1.465633592,0.000249938,164728.3792,0.83196236,0.969079189,0.806237409,167563.2728,0.863550862,0.436277899,0.376748155
194346,8998.848,0.59994987,15001,8999.848,392123.1,392124.1,1,392124.1,437386.5,437387.5,1,437387.5,19353.3387,2.150518398,0.59994987,1.290203233,455899.52,1.162643459,392124.1,455900.52,433518.07,0.9911556,437387.5,433519.07
194348,8787.35,0.732301475,12001,8788.35,366970,1.351255515,271577.8,366971,354705,1.460298823,242899.6,354706,20191.5267,2.297647078,0.732301475,1.682570344,372319,1.014576084,1.351255515,1.370951528,370597,1.044803302,1.460298823,1.525725032
194349,2000,0.133391107,15001,2001,181534.28,181535.28,1,181535.28,385488.69,385489.69,1,385489.69,12366.6667,6.180742979,0.133391107,0.82445615,361863.58,1.993356773,181535.28,361864.58,347452.58,0.901330409,385489.69,347453.58
194352,9600,0.640023998,15001,9601,706761.53,1.025332302,689300.95,706762.53,805883.22,1.154175767,698233.53,805884.22,35889.3051,3.738184054,0.640023998,2.392527505,977377.96,1.382895836,1.025332302,1.417927772,923686.6,1.146179038,1.154175767,1.32289207
194353,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
194355,8112.032,0.624031382,13001,8113.032,219424.46,219425.46,1,219425.46,242856.2,242857.2,1,242857.2,0,0.000123258,0.624031382,0.0000769,11555.8,0.052668455,219425.46,11556.8,241003.12,0.992369672,242857.2,241004.12
194374,5750,0.383374442,15001,5751,187257.92,187258.92,1,187258.92,149703.46,149704.46,1,149704.46,11100,1.930272996,0.383374442,0.740017332,182795.38,0.976169146,187258.92,182796.38,209476.88,1.399276147,149704.46,209477.88
194378,0,7.69E-05,13001,1,190762.3,190763.3,1,190763.3,417456.2,417457.2,1,417457.2,15753.2523,15754.2523,0.0000769,1.211772348,397662.7,2.084592267,190763.3,397663.7,416828.6,0.998496612,417457.2,416829.6
194382,5750,0.383374442,15001,5751,146963.3,146964.3,1,146964.3,132967.43,132968.43,1,132968.43,20873.056,3.629639367,0.383374442,1.391510966,208649.28,1.419734453,146964.3,208650.28,178240.96,1.340483301,132968.43,178241.96
194383,0,9.09E-05,11001,1,130266.19,130267.19,1,130267.19,219880.78,219881.78,1,219881.78,16575,16576,0.0000909,1.506772112,279493,2.145544093,130267.19,279494,262159.18,1.192277869,219881.78,262160.18
194384,0,7.69E-05,13001,1,441958.06,441959.06,1,441959.06,572628.93,572629.93,1,572629.93,19305.8133,19306.8133,0.0000769,1.485025252,583474.04,1.320201559,441959.06,583475.04,661479.32,1.155161973,572629.93,661480.32
194421,5824.9568,0.388371229,15001,5825.9568,185690.78,185691.78,1,185691.78,145746.78,145747.78,1,145747.78,13250,2.274476186,0.388371229,0.883341111,217177.89,1.169566526,185691.78,217178.89,256345.68,1.75883763,145747.78,256346.68
194423,14138.2864,0.942556256,15001,14139.2864,474026.52,474027.52,1,474027.52,468416.13,468417.13,1,468417.13,39460.9787,2.790945567,0.942556256,2.630623205,587376.72,1.23912156,474027.52,587377.72,539855.92,1.152513188,468417.13,539856.92
194426,6090,0.3647087,16701,6091,110565,1.355050217,81595.5,110566,109500,1.215342791,90098.86,109501,11945.8333,1.961391118,0.3647087,0.715336405,268164,2.425383934,1.355050217,3.286517026,307800,2.810942366,1.215342791,3.416258541
194432,8030,0.535364309,15001,8031,439549.71,1.358136891,323642.42,439550.71,482121.36,1.196611976,402906.18,482122.36,30217.6725,3.762753393,0.535364309,2.01444387,610245.78,1.388342155,1.358136891,1.885558698,588187.46,1.219998301,1.196611976,1.459864577
194451,0,1,6.67E-05,6.67E-05,59280,0.465694862,2.642823035,1.230749108,250800,0.639461447,2.130834978,1.362586818,0,1,1,1,0,0.0000169,0.465694862,0.00000786,0,0.00000399,0.639461447,0.00000255
194484,7973.39,0.613367433,13001,7974.39,318910,4.434949366,71908.6,318911,283737,1.701091214,166797.64,283738,0,0.000125401,0.613367433,0.0000769,149820,0.469789377,4.434949366,2.0834921,302185,1.065017728,1.701091214,1.8116923
194487,11393.71,0.759596694,15001,11394.71,362660,1.269872561,285588.5,362661,298773,1.029062099,290336.22,298774,24963.1533,2.190854642,0.759596694,1.664165942,407063,1.122436656,1.269872561,1.425351511,333779,1.117165483,1.029062099,1.149632657
194491,0,0.00019996,5001,1,81982.77,81983.77,1,81983.77,73705.54,73706.54,1,73706.54,0,1,0.00019996,0.00019996,81982.77,81983.77,1,81983.77,73705.54,73706.54,1,73706.54
194625,4476.6667,0.319810492,14001,4477.6667,446240,1.540469334,289678.6,446241,481287,1.60838399,299237,481288,26743.6667,5.972902516,0.319810492,1.910196893,604320,1.354248041,1.540469334,2.086177577,509020,1.057622463,1.60838399,1.701063037
194627,8166.2059,0.544444097,15001,8167.2059,267114.51,267115.51,1,267115.51,241441.13,241442.13,1,241442.13,20627.4944,2.525771317,0.544444097,1.375141284,313889.82,1.175112669,267115.51,313890.82,320802.11,1.328695659,241442.13,320803.11
194672,0,7.69E-05,13001,1,107834.9,107835.9,1,107835.9,256058.28,256059.28,1,256059.28,0,1,0.0000769,0.0000769,215994.61,2.003002803,107835.9,215995.61,293482.87,1.14615596,256059.28,293483.87
